,4096Lina11GAN_X,4096Lina11GAN_Y,4096Lina11raw_X,4096Lina11raw_Y,4096PYRgen_X,4096PYRgen_Y,4096PYRraw_X,4096PYRraw_Y,4096edr01GAN_X,4096edr01GAN_Y,4096edr01raw_X,4096edr01raw_Y,c035[NF=50Hz]0-32_4kGAN_X,c035[NF=50Hz]0-32_4kGAN_Y,c035[NF=50Hz]0-32_4kraw_X,c035[NF=50Hz]0-32_4kraw_Y,pvnGAN_X,pvnGAN_Y,pvnraw_X,pvnraw_Y
0,-34.266155,13.487828,-134.5772,-1.6900597,148.06528,1.4703912,-84.92271,-0.9724366,-68.050415,32.946804,36.006233,-83.88298,173.46753,-3.6627507,193.3982,14.487943,32.3027,3.977748,6.1734934,-1.0356226
1,-32.638985,14.81996,-134.89488,-1.0205503,47.10257,76.69859,-75.74884,-0.26680583,94.34276,-65.48578,-23.412535,71.12534,190.23592,21.190054,208.17184,10.591257,44.72469,11.2088375,9.859028,13.981128
2,-34.25106,13.2891035,-135.74094,-1.1042211,-127.905235,-3.4522443,-67.43778,2.3810902,37.43343,-84.15718,-81.54313,19.143953,209.3326,-7.329736,167.86133,20.492695,37.69426,-0.85233516,-0.31780118,5.976599
3,-29.830734,14.446755,-134.62163,-0.47832972,-128.5016,-4.2850876,-62.9772,5.6253576,27.513632,80.691154,39.937717,-84.12478,198.32295,-1.9019871,172.47052,-8.607557,46.456627,4.2806606,3.6127248,3.3415682
4,-34.124687,13.20073,-131.90602,-2.09542,-128.72101,-3.6676805,-56.31411,-49.18707,-67.85575,32.282207,136.5272,4.1529927,181.15831,23.211903,200.93037,-1.9030293,41.016712,2.261012,12.329494,1.982499
5,-32.724003,15.186558,-133.79745,1.7374268,-128.63254,-3.773502,-58.02609,10.248564,-68.06287,32.98518,-73.47867,-15.738465,164.91074,20.574701,193.6279,2.6893225,44.287323,0.122994035,9.730206,0.49498737
6,-32.671143,14.743039,-136.31181,-1.4474905,136.27783,-5.7414794,-58.06995,8.860332,-68.02406,32.85614,-65.246826,54.84654,171.04994,-2.7180893,194.22813,-4.62287,32.285637,-2.2956367,6.453739,10.586877
7,-59.654995,62.71498,-132.62094,-0.7725805,148.34996,0.061597653,-61.435543,11.17145,-67.72712,31.820318,-74.65709,26.56759,187.13322,-18.464705,190.3088,0.72960645,45.44773,2.4474022,15.591028,-6.5281835
8,-83.7003,-1.2961538,-135.16928,0.2692212,148.89952,0.7638732,-59.442875,7.5126057,-75.861565,-41.563828,-95.21804,17.408442,173.54388,-3.622128,201.53194,3.7221463,39.27524,-5.4564624,5.6033163,0.08519395
9,-85.832466,-7.6372094,-135.40547,-1.9209768,54.06592,73.58569,4.944455,-72.63141,-75.83196,-41.629772,-93.736435,7.7225065,190.18596,21.125305,200.51791,6.037882,37.527016,3.59444,3.6671138,-7.818801
10,-86.05854,-8.316065,-135.68907,-0.7813941,-61.94077,-45.928806,146.58011,-4.127735,-76.3828,-40.163616,-103.69151,15.031807,192.23167,-6.824679,177.01797,19.380024,38.96173,0.4432978,4.1098566,-0.49304706
11,-84.37724,-2.6440392,-134.74768,-0.34861144,-10.134565,20.980545,145.33817,5.2574425,-76.39424,-40.13234,-80.76625,14.200983,200.56796,-2.657356,172.74599,-23.909323,45.86323,-2.755803,4.0696654,-1.4004455
12,-45.807507,-59.777046,-134.92307,0.8119675,-56.901375,7.4991593,133.97853,-10.352758,24.411,-38.321945,-96.244125,0.69770026,181.17361,23.174267,177.19254,13.953342,45.46751,-0.34317112,0.20684497,7.6807127
13,-14.65689,-2.7158425,-135.02393,-0.4289798,68.71624,-2.6498077,146.22351,-2.521374,-75.822395,-41.655376,-79.06157,4.5973735,168.11563,20.014761,182.59055,-10.971319,45.64038,-1.4529212,2.066221,0.0006020083
14,-26.731434,-13.786198,-135.15462,2.8403504,67.781075,2.59603,68.92387,2.0398126,-75.637215,-42.06145,13.147661,22.88347,198.89679,-18.368156,189.79765,0.357205,44.309757,-2.6096654,1.4642955,7.253651
15,-34.210888,48.529987,-135.56946,0.2864579,69.85075,-2.2810466,149.29454,-0.8942423,49.090954,-87.09651,-83.44978,2.0304592,197.17346,9.429061,204.207,5.957071,44.573933,-0.45381114,11.0732,-0.13628903
16,-85.714966,2.4480522,-136.53745,1.7975024,144.153,-9.121596,146.9961,-0.61696666,-74.47909,64.50779,36.477654,76.42476,197.4604,25.320545,164.98897,18.364927,42.58762,4.9347525,11.019786,-1.1800945
17,-83.65627,0.36060938,-39.780563,-54.681736,-16.053694,-65.70722,149.80817,-5.6881666,127.78417,-4.1483235,39.591595,-84.01671,182.16931,-2.3140316,166.51436,-6.0853443,41.125515,-2.72819,15.509954,-6.456101
18,-84.544876,1.596889,-23.707174,-14.825751,49.781544,75.51603,56.642548,69.16632,-136.68336,-5.7550907,36.04777,80.033615,166.26163,8.044807,179.55736,-19.311377,39.875637,-1.3768923,8.904387,-1.0967647
19,-86.00447,3.2164748,-23.003252,-14.92884,147.7636,-2.3099177,94.79607,-66.2823,-72.77136,-57.11355,-84.210686,0.40692636,167.72116,-7.4561815,194.61728,-10.685857,41.20494,-0.61455756,3.6115477,-7.7350736
20,-36.194668,-47.358547,-22.974108,-14.905566,144.38176,-2.9445405,72.52916,-0.4744622,34.463463,81.61386,-115.99676,114.741745,183.58002,-5.959191,195.8751,0.781191,42.019238,-0.17834309,2.628552,-2.637282
21,-21.530054,-3.0358076,-28.912802,-0.4783167,2.024176,72.607254,72.480385,-0.4634191,-136.68597,-5.7480354,-63.245308,8.239785,174.96312,18.83389,190.53947,0.011798636,47.004623,4.779313,0.5762674,-0.04335379
22,-63.81975,61.04332,-28.688791,0.30429602,-8.463279,-68.49932,49.52994,71.39438,-136.67786,-5.760223,13.603117,22.03099,198.94562,-18.04003,194.46031,-21.91356,44.75159,2.9753714,1.9912618,1.2256343
23,-78.21557,-4.717176,-28.84898,16.991905,147.77986,-9.022327,67.48757,-1.7173811,-109.53239,-22.44082,-89.7741,-13.48741,171.9225,11.789759,194.23515,-0.59732294,34.27791,1.3979027,2.2081592,2.178029
