,4096Lina11GAN_X,4096Lina11GAN_Y,4096Lina11raw_X,4096Lina11raw_Y,4096PYRgen_X,4096PYRgen_Y,4096PYRraw_X,4096PYRraw_Y,4096edr01GAN_X,4096edr01GAN_Y,4096edr01raw_X,4096edr01raw_Y,c035[NF=50Hz]0-32_4kGAN_X,c035[NF=50Hz]0-32_4kGAN_Y,c035[NF=50Hz]0-32_4kraw_X,c035[NF=50Hz]0-32_4kraw_Y,pvnGAN_X,pvnGAN_Y,pvnraw_X,pvnraw_Y
0,13.871957,-6.002998,5.7574077,17.323736,-1.5268474,-4.9836073,10.338651,17.867523,9.799601,16.900814,3.151703,-0.5941267,-1.9634347,-7.8672867,-2.4691544,-7.5878577,-9.009167,10.522868,-2.3882537,19.042324
1,13.878687,-6.0018063,5.7200813,17.318428,-0.9945893,-0.17748177,10.210791,17.96309,1.3667085,-2.834953,3.368745,7.7251744,-2.3186128,-6.804845,-2.4966354,-7.8142223,-8.897497,10.247039,-2.715861,19.067144
2,13.850909,-5.9686,5.768249,17.312609,5.9022326,17.10087,10.388566,17.251314,3.0857685,-0.74360746,11.309313,17.460623,-1.2677345,-6.9065137,-3.439467,-5.8388886,-8.858222,10.509085,-2.3258991,19.318499
3,13.9071665,-5.7798896,5.680852,17.32087,9.929008,19.570019,10.016119,16.860853,-0.2629759,2.8478355,2.8861802,-1.0651118,-2.6047773,-8.521977,-1.9036942,-7.793423,-8.799668,10.452877,-2.1853015,19.215311
4,13.943794,-5.9784856,5.7350926,17.409842,5.825369,17.132816,9.881109,16.03409,9.81475,16.991446,-1.5544579,-4.0655756,-2.77426,-7.239708,-2.5707583,-8.121225,-8.831528,10.407143,-2.8773782,18.805283
5,13.875316,-6.000265,5.797675,17.507576,5.848401,17.180298,9.945565,16.872963,9.822502,16.945625,10.485235,18.921762,-3.4303896,-5.6541777,-2.3898675,-8.255153,-9.085436,10.534723,-2.6766386,18.698038
6,13.865907,-6.0002832,5.7623353,17.224785,-0.86514026,-4.578264,9.850406,16.78371,9.772005,16.89846,9.576709,16.432266,-2.0007343,-7.991335,-2.260656,-8.427118,-8.874026,10.286635,-2.461589,19.138145
7,15.568635,2.6609235,5.723542,17.389992,-1.4522114,-4.829238,10.1038,16.914398,9.935444,17.009897,10.984818,17.359877,-1.4385468,-7.698051,-2.395964,-8.401988,-8.985692,10.476539,-2.3483045,18.709003
8,10.947709,18.677286,5.7107716,17.338102,-1.5031786,-4.985383,10.035771,16.792505,10.576886,16.631351,9.405403,17.445286,-2.0615704,-7.8212924,-2.2634587,-8.228886,-8.888797,10.639652,-2.4735975,19.08958
9,11.885335,19.409178,5.7527447,17.29196,-1.1028092,-1.4450119,4.117489,1.3145366,10.568834,16.644554,11.39513,17.884525,-2.2072926,-6.762608,-2.4788527,-7.969441,-8.640794,10.347413,-2.7538695,18.820154
10,11.908818,19.386461,5.6947846,17.357698,11.20727,16.132114,-1.3912861,-4.757286,10.527718,16.654993,9.868607,18.290356,-2.1873996,-8.5179205,-3.2637033,-6.748763,-8.903006,10.676222,-2.1470184,19.136087
11,11.203928,18.919302,5.690096,17.317299,9.815932,16.55982,-1.566621,-4.54557,10.452464,16.666098,9.754466,17.674198,-2.700419,-8.359598,-0.6833752,-6.841384,-9.097611,10.630547,-2.103435,19.175625
12,12.331296,1.0774852,5.7775073,17.357515,9.76722,16.707497,-0.82969135,-4.6269245,1.8398999,-0.82139623,11.54445,17.307205,-2.7290812,-7.255416,-3.2343175,-7.075733,-9.108942,10.586642,-2.5595708,19.106434
13,15.492377,-6.4754996,5.7280016,17.346146,-0.31498846,-2.557156,-1.4683826,-4.834998,10.617542,16.626194,9.263938,18.036556,-3.4439154,-5.882186,-2.0678382,-8.432681,-9.158441,10.539101,-2.1722853,19.259602
14,15.350958,-6.3211794,5.7417793,17.383625,-0.34200925,-2.5100088,-0.31715208,-2.4937067,10.608055,16.587973,0.9729346,-0.11644287,-1.0165294,-8.701686,-2.2654178,-8.322786,-9.137322,10.596561,-2.2190468,19.148687
15,15.833058,-1.6663027,5.7457376,17.350788,-0.36007586,-2.5777671,-1.5085151,-5.033853,-0.6023732,-6.4031844,11.467256,17.155676,-2.4072173,-7.847271,-2.4754632,-8.07315,-9.153585,10.596036,-2.614221,18.822138
16,11.887874,17.963951,5.735555,17.364374,-1.2518139,-4.903127,-1.5477226,-5.04326,3.5036035,7.9017234,-0.5484033,1.6583182,-1.9237064,-7.4846725,-3.4162395,-5.636204,-8.777456,10.368173,-2.8585808,18.641996
17,11.342943,17.803009,12.418912,-0.03145045,6.064903,5.0029607,-1.4966862,-4.9271584,-0.5092874,-3.4960198,2.9232695,-0.9890215,-2.3738997,-8.524789,-1.0874593,-5.4292536,-9.0434885,10.640259,-2.4197838,18.80031
18,11.700488,17.910168,15.730837,-5.9123116,-1.0939431,-0.83339137,-0.7833514,-2.0431838,5.761184,17.079315,-0.6591413,1.658161,-2.917446,-5.9902554,-0.9187096,-7.420784,-8.741188,10.520316,-2.6907098,18.883905
19,11.998455,17.94205,15.848741,-5.966172,-1.3219987,-4.8104143,1.4126104,-2.7885761,7.2685704,6.6380496,11.4229355,17.897156,-1.6966941,-7.402079,-2.0853229,-8.248727,-8.890863,10.514164,-2.7509465,18.909727
20,12.832718,-1.1077377,15.617501,-5.9702926,-1.3842821,-4.7056985,-1.2541605,-4.5191298,-0.6442535,1.7464569,11.342066,17.926767,-1.7927821,-7.7587914,-2.2428992,-8.553458,-8.917335,10.514846,-2.0004072,18.963465
21,14.076966,-4.916715,14.6366,-5.7860966,0.09342531,3.1989846,-1.2477432,-4.4163632,5.770166,17.08441,10.118076,16.805279,-3.3532166,-6.9298882,-2.450382,-8.407253,-8.961274,10.465845,-2.0253444,19.296513
22,15.404599,3.231229,14.526367,-5.812379,5.6653247,4.038437,-0.8290565,-3.4309738,5.762065,17.042734,1.0107886,-0.10329393,-1.0584469,-8.6169405,-0.890568,-8.234967,-8.985852,10.326839,-2.1559968,19.318213
23,9.772889,19.678406,13.908817,-5.3222117,-1.3174851,-5.05752,-0.34152627,-2.51568,12.098575,18.648952,10.685041,18.392319,-2.5103056,-7.770238,-2.6051927,-8.444994,-8.636884,10.553862,-2.1454513,19.27732
24,9.790465,19.672617,14.691271,-5.773743,-1.2511173,-4.4959936,-0.3599677,-2.5405226,12.080877,18.656607,9.899859,18.810976,-2.1848924,-7.464788,-2.4307644,-7.2224216,-8.786502,10.452033,-2.9356792,18.780241
25,9.757434,19.67143,14.633645,-5.7919035,-1.4420911,-4.216972,1.6519061,-2.4897094,12.098137,18.654274,2.647264,6.852671,-2.355559,-8.448329,-2.504353,-8.2593,-8.953151,10.508662,-2.3204021,18.733667
26,9.763242,19.649601,14.564154,-5.8478804,-1.2815115,-4.434603,-0.82079697,-4.6125293,12.059584,18.655323,9.879124,18.712992,-3.3787537,-5.650104,-2.6401217,-8.392834,-8.717609,10.424491,-2.6945524,18.990368
27,9.910737,19.455078,14.507212,-5.837254,-1.4970906,-4.9840612,-1.4673227,-4.7770205,0.422783,-0.107690975,11.488739,18.009172,-1.6008611,-7.252015,-2.3579965,-7.8295164,-8.778586,10.576727,-2.48168,19.115282
28,14.093258,-4.207303,14.504693,-5.8273396,-1.493059,-4.1404295,-1.177665,-4.7499247,12.059606,18.648594,10.243161,18.408354,-1.729743,-7.817753,-1.0042348,-7.5758243,-8.876327,10.465594,-2.2856143,19.214617
29,15.127253,-4.9003463,14.520839,-5.7638125,9.301471,19.216116,-1.3116748,-4.6740336,5.9228344,4.518962,11.360556,17.708933,-2.0697715,-8.259674,-2.524259,-8.431502,-8.972321,10.509124,-2.394532,18.963705
30,14.467585,-5.8726087,14.5118,-5.750142,1.9974396,-0.7236176,4.707319,2.4501958,0.50445384,3.849856,9.92205,17.61583,-1.2955558,-8.691719,-2.2423964,-6.22136,-8.72108,10.156385,-2.6486537,18.785028
31,14.274918,-5.928913,14.592074,-5.828899,-1.5460198,-4.469006,-1.4923846,-4.828851,11.655994,18.758486,9.725065,15.020303,-2.5056763,-7.4448843,-2.4801793,-7.471129,-8.702652,10.202519,-2.4097776,19.03357
32,16.084425,0.8308632,14.584614,-5.8038006,-1.5147654,-4.3099475,-0.96123344,-0.1465657,11.702435,18.7638,11.397652,18.472197,-2.3874588,-8.390868,-2.417446,-8.353841,-8.865151,10.448486,-2.6871855,18.770107
33,12.851383,-1.15434,14.32012,-6.1365113,-1.5661479,-4.987692,-8.384891,11.149232,6.2242646,5.081115,10.96099,17.127714,-2.4824986,-8.436711,-1.727137,-7.5382414,-8.785928,10.435114,-2.3879716,19.032322
34,14.350634,-5.871785,14.42553,-5.894288,11.879723,17.717299,-1.351401,-4.9050612,0.23737465,3.411428,10.465453,18.068756,-3.5094533,-6.5277376,-2.855421,-7.835371,-8.6402645,10.357168,-2.9082477,18.71823
35,14.108899,-5.877536,14.457411,-5.9393454,11.741362,17.716568,-0.6466571,1.5286504,-1.1295689,-1.881838,9.350811,18.289888,-2.6253803,-8.580892,-2.3418732,-8.132302,-8.700701,10.450075,-2.1339128,18.86354
36,16.128624,0.62484723,14.52619,-5.805723,1.4423943,-0.8618051,-0.8092797,0.173482,11.619451,18.76444,4.1352243,1.3371301,-0.87491876,-7.339412,-2.4528077,-8.351267,-8.729246,10.438228,-2.5175207,18.972479
37,9.08999,18.1027,14.28779,-6.105799,11.79571,17.740786,-0.3413083,-4.137988,11.655219,18.725134,2.2036824,6.3378963,-2.2359788,-7.7352805,-2.5492737,-8.209365,-8.775522,10.284789,-2.3095775,18.553402
38,11.277842,19.168667,14.229642,-6.2307873,-0.571777,1.6008797,-1.5332365,-4.801171,8.958239,17.140354,4.106438,1.294814,-2.3164358,-8.487276,-2.5499642,-8.1840515,-8.84067,10.232089,-2.2230487,18.93358
39,12.662918,-0.69030297,14.336565,-6.0413446,8.784078,17.084713,-1.5589007,-4.807226,8.963757,17.137648,3.2337074,7.541505,-2.4665627,-7.506793,-2.3968987,-8.277284,-8.698886,10.165282,-2.7094493,18.897526
40,15.624691,-2.3002806,14.363343,-5.957971,4.4260397,1.8949144,-1.3981787,-4.732122,1.8530302,-2.3687773,10.864323,18.923157,-3.8342328,-5.810179,-3.4838026,-6.573794,-8.685662,10.230323,-2.5039287,19.253443
41,11.261829,19.180275,14.2747965,-6.251419,-1.5792036,-4.9058456,-1.1424522,-1.9423885,-0.6306925,1.8317126,2.813927,-0.4918605,-2.4777064,-8.33961,-1.1217343,-7.529535,-8.746793,10.218691,-2.8196554,18.607954
42,13.461135,-2.5579748,14.34383,-6.226015,-0.82844496,-4.612933,-1.502987,-4.2559347,9.030047,17.138975,10.240066,17.357342,-1.9749196,-8.403722,-2.0119128,-8.519562,-8.649973,10.38963,-2.8134973,18.896166
43,14.564401,-5.971819,14.328868,-6.174495,-1.6524464,-5.107356,-1.4869242,-4.277667,8.979961,17.156374,10.867485,17.724356,-2.5447972,-8.584492,-2.4547603,-8.018725,-8.709206,10.126405,-2.1004884,19.228848
44,15.1521,4.158928,14.40243,-6.0569096,-1.3969735,-4.624776,-1.5079226,-4.9057603,9.005343,17.162132,10.607464,19.157436,-2.4792564,-6.9927397,-3.3385713,-7.1897326,-8.77628,10.363155,-2.5354857,18.96617
45,12.331976,1.6356571,14.412889,-5.9930444,-1.412111,-4.7685122,-1.5615876,-5.143556,-1.4920068,-5.162563,9.825098,18.897377,-2.1509557,-7.4989533,-0.8402836,-7.04551,-8.918238,10.473116,-2.4236295,18.784935
46,13.732851,-4.772775,14.311023,-6.155299,9.739605,16.803318,-0.37023157,-2.5193837,10.3644495,15.904039,10.581424,17.016785,-2.2522552,-8.556662,-2.4083974,-8.493761,8.813536,15.68148,-2.816123,18.670574
47,13.447795,-4.509817,14.299178,-6.136388,9.862319,16.990295,-1.4981619,-4.3758087,10.365532,15.906119,9.578586,18.111937,-3.4503725,-5.855109,-2.4500048,-6.9557257,9.750526,15.060715,-2.678148,18.922228
48,15.83399,1.7609882,14.390304,-6.043146,5.970641,17.337086,-1.7255896,-5.343216,10.351463,15.912686,10.084644,17.260157,-3.51187,-5.691144,-2.209542,-8.648184,-8.875985,10.286005,-2.4457397,18.86404
49,11.371445,17.205423,14.188031,-6.3888993,4.7155576,2.426053,-1.5095923,-4.741258,10.333452,15.91969,3.7273712,0.54531664,-2.8124988,-8.147707,-2.461353,-8.1916065,-8.737862,10.25595,-2.4450512,18.86967
50,11.58594,17.048388,14.155648,-6.3864064,-1.6360233,-4.545312,-0.06327179,-1.4120265,10.346321,15.910989,-1.669954,-5.376079,-2.0028179,-8.38923,-2.4889317,-8.047723,-8.658947,10.447322,-2.3296316,18.869997
51,12.000519,16.784374,14.383132,-5.6194644,-1.5383626,-4.84739,-0.8965836,-4.5569153,10.352639,15.90717,11.124028,17.280294,-2.5826726,-8.553761,-2.4005053,-8.309275,-8.707576,10.287294,-2.7417295,18.817867
52,12.552824,-0.38765338,14.204281,-6.41475,-0.89869684,0.18279788,-1.4097991,-4.808572,-0.68676734,-4.4842434,10.426056,17.384161,-2.4920616,-6.955773,-1.4423212,-7.775215,-8.76825,10.366463,-2.7098925,18.874207
53,15.521721,2.7540343,14.499526,-5.248988,9.335835,17.975681,-1.5462295,-4.794962,0.15979981,3.2955759,8.861573,15.7632065,-1.4414376,-7.664939,-2.329047,-8.614719,-8.698541,10.165838,-2.5232646,18.96231
54,9.161925,19.326483,13.956008,-3.8906367,9.136042,18.267124,-1.4819418,-4.976606,1.9470716,-0.40967512,11.3825655,17.721668,-3.1735845,-7.8924255,-2.5443285,-8.492031,-8.699598,10.318875,-2.411184,18.85009
55,13.73036,-3.1644795,14.284438,-6.121514,5.95573,17.164196,-1.0506911,-0.81080675,8.982772,16.314274,10.159931,16.917206,-3.4791481,-5.679376,-1.1642677,-6.616113,-8.8460865,10.291467,-2.1901436,18.722906
56,15.052887,-5.2427087,14.262812,-6.2280817,6.098621,17.306831,-1.4295157,-4.738267,8.969428,16.299011,0.410609,-0.76288193,-2.6550274,-8.4611,-2.5716166,-8.168323,-8.717227,10.203854,-2.3148139,18.762794
57,15.004004,-5.254199,14.270128,-6.2431755,2.1190975,-1.6891787,-1.3349704,-4.9239345,8.981238,16.305475,10.176017,17.01181,-2.8089871,-7.7858353,-2.5341547,-8.3874655,-9.032871,10.424707,-2.365007,18.738895
58,15.708281,-2.046181,14.261178,-6.3471913,9.536124,17.02324,1.9515039,6.0139284,8.975586,16.302057,10.3699255,18.213541,-0.74029356,-6.4886317,-3.21194,-7.440633,-8.736343,10.388026,-2.6572719,18.846624
59,9.861026,18.819197,14.277188,-6.250037,-0.9887474,-4.74911,10.101427,16.78234,8.9626465,16.282158,9.586995,17.970325,-1.1838793,-8.323661,-3.9215548,-5.9009185,-8.726033,10.367296,-2.802471,18.922419
60,13.055483,3.7463684,14.268582,-6.2387323,-0.83062357,-4.590865,-0.82541376,-4.560971,8.964887,16.28859,9.839916,18.732277,-3.092912,-7.7673545,-1.4194418,-5.6008782,8.749863,15.641631,-2.3392107,18.782177
61,13.60903,-5.635805,14.230171,-6.311128,-1.3930697,-4.733246,-1.6326536,-4.866186,4.1231575,1.3264236,11.343019,17.482456,-1.4039454,-7.702247,-0.72206455,-8.160039,-8.788646,10.285272,-2.4487007,18.666828
62,13.6489315,-5.635178,14.2231655,-6.319035,-1.5986695,-4.690501,-1.3023595,-5.116596,9.985756,16.675097,10.032209,18.045273,-3.4524512,-7.77966,-1.882235,-8.508814,-8.735508,10.339641,-2.7589102,18.909462
